tissue,corr,pval
thyroid,0.29501630566384374,1.3781786846131576e-45
testis,0.3195241743177151,4.228397128389172e-74
skin-sun-exposed,0.35182032179437606,6.734521192038806e-60
skin-not-sun-exposed,0.34904751967998143,2.644871711417571e-64
pituitary,0.31165356857012305,3.091587296385382e-55
nerve-tibial,0.29806051395823424,2.5394517307640868e-45
muscle-skeletal,0.4391126259597408,4.7080668505664264e-51
lung,0.34396945105108895,9.343298258735041e-66
liver,0.4213402490104741,9.045204821682564e-54
heart-left-ventricle,0.3947016056574292,4.153899847934757e-36
heart-atrial-appendage,0.22921745917765113,1.4391890404169652e-15
esophagus-muscularis,0.3333118147554468,3.1703841398591335e-42
esophagus-mucosa,0.370942892511883,6.523318566815559e-51
esophagus-gastroesophageal-junction,0.3585354976354477,1.4389742199044575e-50
colon-sigmoid,0.3079414827163102,3.1332673801579473e-38
breast-mammary-tissue,0.33031731994429775,1.3881116044569094e-50
brain-cortex,0.3154475052308192,1.439696165608722e-44
brain-cerebellum,0.22646843506316713,3.830519545557744e-31
artery-tibial,0.34354185852870833,6.1046311412427815e-47
artery-coronary,0.32673722870641053,7.894072178905783e-44
artery-aorta,0.34995430444007125,2.5975546317093267e-44
adipose-visceral,0.35681688810619555,3.02666916271383e-56
adipose-subcutaneous,0.33326244900450785,3.357115796107529e-49
